ID	#ofRTs	HashTags	Date	TweetText		Url	User	Randomize
13	47	BadThings, WangoTango	2017-05-14 03:42:26	.@Camila_Cabello &amp; @machinegunkelly's song  is the JAM!   🎶		http://bit.ly/2qERaO6	Gracyela25	5402
5236	0		2017-05-14 04:06:13	This is terrifying 		https://twitter.com/emojimovie/status/863562740807344128	lucindangarcia	5401
1167	37	WangoTango, Camilizers, CamilaIsComing	2017-05-13 11:47:14	I'm so excited and I can't wait to see @Camila_Cabello later in  😊💘  … 			jhceline_7	5398
1590	2	WangoTango	2017-05-14 03:46:56	.@NiallOfficial @LiamPayne Liam e Niall no backstage do , em San Diego. (13/05) 😍 	Liam,San Diego		pandicorn_oned	5390
386	512	WangoTango	2017-05-14 01:53:54	Mic Check 1, 2!! We can't wait for @Camila_Cabello to hit the stage with @machinegunkelly!  			JhorellyM	5387
303	0	WangoTango, TheVoice, mileycyrus, mileyraycyrus, mileycyrus	2017-05-14 03:48:42	"Miley backstage  
.
.
.
   … "	Miley backstage…	https://www.instagram.com/p/BUDujegjN9V/	MileyWorld4Eva	5384
496	0		2017-05-14 03:49:32	Friendship goals 		https://twitter.com/OfficialWith1D/status/863582144773451776	louisroqueiro	5383
640	36	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 02:29:17	"Camila with @JoJoWright (via jojowright on Instagram)   
 "	Camila		garciacabello2	5379
615	0		2017-05-14 03:49:53	Votem no Niall, sweets! /yasmin 		https://twitter.com/PopPoIls/status/863599037387333633	portallouisbr	5377
5258	0	wangotango	2017-05-14 04:06:19	Enjoyed the live stream of @maroon5 at  tonight !! 😍💜😎🎶 ❤🎤🎸 		https://www.instagram.com/p/BUDwf1Fg8OXvdFn-_mG0bpy6LDDyLmLV9o3xlo0/	tracy1535	5350
5401	0	WangoTango	2017-05-14 04:06:46	Payno &amp; Nialler met @  😭			curlybrad29	5338
1306	61	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 00:29:35	"Camila on @1027KIISFM's snapchat.

   "	Camila		garciacabello2	5329
1847	0	M5OnWangoTango, WangoTango	2017-05-14 03:54:14	I love it when he closes his eyes to sing 😍 @maroon5   			katyloveM5	5295
157	183	WangoTango	2017-05-14 01:19:41	.@NiallOfficial fans! Tune in to our Snapchat / Instagram for some  fun! 			OnMyMindNjh	5292
404	361	WangoTango	2017-05-14 02:07:36	Camila and @machinegunkelly performing Bad Things on @ashlee_juno's Instagram story  			LalYazareth	5290
5248	0	WangoTango	2017-05-14 04:06:17	@Zedd ARE YOU PERFORMING THE SONG WITH LIAM TONIGHT 	LIAM		thekingdomroses	5286
30	92	WangoTango	2017-05-14 03:29:45	"Niall cantando ""On The Loose"" esta tarden en el ! "	On The Loose		America2372010	5284
4132	1	WangoTango	2017-05-14 01:37:51	Miley backstage at . 			chem_is_TRY__	5278
2873	8		2017-05-13 23:47:35	PROJECT WITNESS???)/€kdkdkdkd' BITCH WBZG THENESJDJDNX 		https://twitter.com/katyperrylately/status/863540569095774208	FreddyRMarte	5276
5210	0	WangoTango	2017-05-14 04:06:08	@NiallOfficial u rocked it 			Ashu_1DZ	5259
2466	0	funny, funnyvideo, WangoTango, UFC211	2017-05-14 03:56:27	Japanese High School Baseball Player's Amazing Plate Routine ,,, 	Japanese High School Baseball Player 's Amazing Plate Routine	http://goo.gl/5mgRJC	rachelalsop689	5258
2249	0	Funny, chipmunk, WangoTango, UFC211	2017-05-14 03:55:52	Chipmunk Stretches in the Morning ,,, 		http://goo.gl/rMIu2S	wandawright5101	5248
179	204	WANGOTANGO	2017-05-14 02:30:09	NIALL CANTANDO SLOW HANDS   			alohdo	5246
5149	0	WangoTango	2017-05-14 04:05:52	"@Camila_Cabello on the  yellow carpet |
@CCabelloNews "			CamilaDailyMX	5242
3053	0	WangoTango	2017-05-14 03:58:51	@LiamPayne tonight at ! (Via @wydnialll) -P 			bigpaynoUA	5236
4815	0	WangoTango	2017-05-14 04:04:43	So fucking PROUD of this amazing women!! You killed tonight at  			lovingestrabao	5234
331	10	WangoTango, EmojiMovie	2017-05-14 01:12:56	👋 ! Discover the 🌎 inside your 📱 July 28!  			BurgerPack	5229
706	0	WangoTango	2017-05-14 03:50:10	Niall at  			NarrySource	5220
315	2	WangoTango	2017-05-14 02:54:25	Halsey arriving at  			Mastermind_Kris	5210
46	5	WangoTango	2017-05-14 03:42:15	Niall en el backstage del  			nazadict	5205
2018	0		2017-05-14 03:54:57	she might be a lil crazy but damn she talented 		https://twitter.com/iheartradio/status/863584972455555073	_morgiiie	5202
447	17	WangoTango	2017-05-14 03:31:03	Niall backstage at  			nherdnigel	5196
140	72	WangoTango	2017-05-13 21:13:19	TWEET IT. TREND IT ⬇️  			NJHLove93	5194
2942	0	Niam, wangotango	2017-05-14 03:58:29	"@NiallOfficial  Together
Niall Horan and Liam Payne 😍
Horan and Payno 😍
Nialler and Payne chain 😂😍

"	TogetherNiall Horan,Liam Payne,Payne		musicsoul_1	5190
2282	0	lion, babylion, WangoTango, UFC211	2017-05-14 03:55:57	These Sleepy Lion Cubs are Cuter than Kittens ,,, 	Lion Cubs	http://goo.gl/VG8WNc	joeclarkson5731	5189
243	15	WangoTango	2017-05-14 03:27:22	4 years ago Avril Lavigne was performing at  2013. Time really flies... Can't wait to see Avril rocking… 	Avril Lavigne,Avril rocking…		avrilsboyfriend	5182
2471	97	WangoTango, Despacito	2017-05-13 19:27:07	Soundcheckin' for tonight's  @1027kiisfm  @ Stubhub Center 	Stubhub Center	https://www.instagram.com/p/BUC1J7HhvdM/	Rodriguezjovi	5152
465	1	WangoTango	2017-05-14 03:35:02	CUTIE AT  			shitissheeran	5149
62	1	WangoTango	2017-05-13 19:04:38	Hey Violet performant Guys My Age au , Carson (13/05) | realpatrickjones 	Violet,Carson		dodo199137	5114
2463	9	VIDEO, WangoTango	2017-05-13 22:48:41	 🎥 Niall at the 102.7 KIIS FM  in Carson, CA today!  (May 13) 	KIIS FM,Carson		T_Horan13	5107
2872	2	WangoTango	2017-05-14 03:39:10	.@NiallOfficial and @LiamPayne reunite at ! 		http://www.beautifulballad.org/2017/05/13/liam-payne-sofia-carson-and-jordan-fisher-attend-wango-tango/	srfHOPE2413	5101
142	55	WangoTango	2017-05-14 03:30:57	May 13th: Niall being interviewed backstage at  			sandravasquez02	5096
582	138	WangoTango	2017-05-14 02:47:35	We're SO HAPPY that @NiallOfficial is in THIS TOWN 😍😍😍   		http://KIISFM.com/wangotango	Pill0wTalkx	5090
4097	0	WangoTango, CamilaWangoTango	2017-05-14 04:02:02	Camila performing onstage at 102.7 KIIS FM'S Wango Tango.   	KIIS FM'S Wango Tango		CCabelloMedia	5082
3358	9	WANGOTANGO	2017-05-13 21:43:11	.@olivia_holt is READY to hit the  Village! 🔥🔥🔥  	Village	http://KIISFM.com/wangotango	captain_smores	5080
1515	0	WangoTango, SlowHands	2017-05-14 03:52:51	@NiallOfficial This is amazing ! glad for ya  			phoemdirection	5072
2792	0	WangoTango	2017-05-14 03:57:53	ZEDD IS NEXT ... WHAT IF LIAM SURPRISES US WITH A COLLAB 	LIAM		LarryBuzzinHome	5067
750	52	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 02:12:29	"Camila with @machinegunkelly (via jimmynickles on Instagram)  

   "	Camila		garciacabello2	5050
407	48	WangoTango	2017-05-14 00:44:19	Roar!  			ElizeuGomez9	5013
803	9		2017-05-14 01:03:53	she probably thought it was Miley 		https://twitter.com/onairwithryan/status/863557949473435648	danaxxxxxxxxxx	5002
926	1026	WangoTango	2017-05-13 11:34:26	Hello. @Camila_Cabello is playing  this evening. We'll be posting via Instagram Story (@901Music) all ni… 			FifthArianacabe	5000
1932	66	WangoTango	2017-05-14 01:58:36	Liam is at ! 	Liam		xElaPayneX	4975
2437	0	babyowl, littleowl, WangoTango, UFC211	2017-05-14 03:56:23	"""Oakley"" &amp; The Oaklettes Learn to Move with the Groove! ,,, "	Oakley	http://goo.gl/aHz4Vi	jakeanderson551	4932
360	0	WangoTango	2017-05-14 03:48:56	Check this out! With just $10, you can help keep girls like Asha in school-  Portugal 	Asha	https://youtu.be/pVH7TcDn1wY	RCNCFundraise	4910
255	0	WangoTango	2017-05-14 03:48:29	Another 1 for the Books, shout to Amanda she makes our Team Pop!  	Amanda	https://www.instagram.com/p/BUDuiG2hXFr/	BIGCHUNK	4909
5080	75	WangoTango	2017-05-13 22:34:54	About to kick off the @noahcyrus meet &amp; greet! Ahhhh! 😍   		http://KIISFM.com/wangotango	Cyren7u7	4893
4034	14	WangoTango	2017-05-14 00:01:16	Reunited with @sofiacarson at @1027KIISFM  👯 			gabbybi11r2d	4846
47	2419	wangotango	2017-05-13 20:33:56	So proud of you @noahcyrus !!!! So stoked to share this night with you!  @1027KIISFM 			jaureadicction	4838
1324	0		2017-05-14 03:52:09	"@NiallOfficial @1027KIISFM @iHeartRadio Niall when can I preorder the album.?? 😍 and book tix for tour.? 😍
I need them so bad 😍😍 
   "		https://twitter.com/i/web/status/863602810918588416	musicsoul_1	4824
419	0		2017-05-14 03:49:11	good ass 😂 		https://twitter.com/MafiaCamilaRS/status/863571240988160000	ourslalita	4818
1266	4	WangoTango	2017-05-14 03:36:12	Liam watching Niall perform at  tonight 13/5/17 	Liam		horanosaur	4815
3095	0	WangoTango	2017-05-14 03:58:58	"It's about time we get to see Alessia and Zedd performing ""STAY"" at  tonight! "	Alessia		AlessiaCWorld	4809
125	354	wangotango, dead	2017-05-14 02:20:21	I'm watching @niallhorran play at  and @Liampayne is standing directly next to me. 			fckme_t0mmo	4802
810	10	WangoTango	2017-05-14 03:43:03	Alessia at  carpet today! 	Alessia		ackingdxm	4795
3910	8	WangoTango	2017-05-14 02:43:04	Miley singing 'Jolene' on stage tonight at !   	Jolene		chem_is_TRY__	4785
316	8	WangoTango	2017-05-14 03:40:03	Miley performing 'We Can't Stop'  			Oshes	4779
3679	0	a1array, EverythingEverything	2017-05-14 04:00:36	Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!  		https://twitter.com/i/web/status/863604935841140736	1027KIISFM	4769
79	1	WangoTango	2017-05-13 19:03:28	Hey Violet performant Brand New Moves au , Carson (13/05) | realpatrickjones 	Violet,Brand New Moves au,Carson		dodo199137	4766
2383	0	wangotango	2017-05-14 03:56:13	@NiallOfficial Performing at  today Really proud Niall 			YusriyaSabani	4719
5114	0		2017-05-14 04:05:44	"next to you
malibuuuu "		https://twitter.com/1027KIISFM/status/863592991079911425	radiateorange	4705
149	72	WangoTango	2017-05-14 02:07:09	Niall tonight at  			OnMyMindNjh	4703
2501	0	WangoTango	2017-05-14 03:56:34	@1027KIISFM  is so awesome and so many talented people at there ♥			onedire79089870	4694
1525	0	WangoTango	2017-05-14 03:52:53	Yaaaay Maroon 5 with the Prince cover!!!!  😭😭	Yaaaay Maroon,Prince		TakeGarr	4687
1318	90	WangoTango	2017-05-14 01:46:46	.@NiallOfficial hits ! 😍😍 			unicorniohorang	4669
2876	0	WangoTango, WangoTango2017	2017-05-14 03:58:12	Holy fucking SHIT 🔥🔥  			NickysAngelBaby	4667
296	81	WangoTango	2017-05-14 01:07:28	❤️❤️loved seeing you guys  		https://twitter.com/extratv/status/863550887708446720	gocoo_59	4666
3786	3	WangoTango	2017-05-14 03:35:09	Miley threw flowers in the crowd💐  	Miley		StuckInBookland	4639
1092	0		2017-05-14 03:51:28	What a single. So so proud of our Sunshine! 		https://twitter.com/1dfamlly/status/863579397814714368	25andmadabout1D	4621
1859	4	WangoTango	2017-05-14 02:05:25	Liam at  today! -P 	Liam		xElaPayneX	4610
167	388	WangoTango	2017-05-14 02:32:27	Camila on @ashlee_juno's Instagram story  	Camila		LalYazareth	4601
646	6	WangoTango	2017-05-14 03:11:14	"Hailee Steinfeld cantando ""Love Myself"" no  - 13 de maio. "	Hailee Steinfeld		perriexplicts	4593
879	0		2017-05-14 03:50:47	MY POOR NIAM HEART OMG 		https://twitter.com/OfficialWith1D/status/863582144773451776	colismariah	4592
4260	10	WangoTango	2017-05-13 23:42:12	Our fave @aaroncarter just taught @CassieDiLaura how to Tango at @1027KIISFM ! 	Tango		gabbybi11r2d	4580
1396	0	WangoTango	2017-05-14 03:52:25	Finishing up with Prince tribute @maroon5 at 	Prince		Tony14M5fan	4578
26	0		2017-05-14 03:47:35	@NiallHFrance Best performance? 		https://twitter.com/poppoils/status/863599037387333633	PopPoIls	4571
3867	144	WangoTango	2017-05-14 00:26:38	Camila today at   			veyvix	4561
4123	19	WangoTango, BackstreetBoys	2017-05-14 02:57:13	Up close and personal with the @backstreetboys @1027KIISFM @extratv  … 			sapnasajnani	4557
3135	0	WangoTango	2017-05-14 03:59:03	"Don't forget to Buy ""Malibu"" by @MileyCyrus which was performed tonight at  

Buy:   🌊 "	Malibu	https://twitter.com/i/web/status/863604545716457473	acousticmiley	4544
1271	0	WangoTango	2017-05-14 03:51:59	ADAM LEVINE/MAROON 5 IS SINGING LET'S GO CRAZY BY PRINCE 💜 	ADAM,PRINCE		LarryBuzzinHome	4540
1498	131	WangoTango	2017-05-14 02:02:31	NIAM AT THE  			niallxcontrol	4480
83	24	WangoTango	2017-05-14 02:52:51	Live on the Yellow Carpet at  with @alexonthemic and the @backstreetboys  	the Yellow Carpet	https://www.pscp.tv/w/a-ZpojEzOTEwNTN8MW1ueGVFd3d6bVl4WEdGrIxRpD05Z3VRCt6ul-Ky1kwSMz98CtRDVDEUsKrO	AngieGodoyBSB	4471
2493	239	WangoTango	2017-05-14 00:25:24	Camila no Instagram story da @Chelsea_Briggs  			screammila	4452
3738	0	WangoTango	2017-05-14 04:00:48	Give us @brian_littrell with a kid any day!  			WHOTheBckstreet	4444
3662	0	StripBackDown, WangoTango	2017-05-14 04:00:31	Liam just jumped on stage to talk about his new single ! Out next Friday! | @iHeartRadio  	Liam		901Music	4441
939	2		2017-05-13 22:04:26	@camila_cabello @1027KIISFM  Could you sort this post for us camilizer?please say yes! I really wanted to win.… 			MicaJaraCS	4433
2350	0	twins, twinbrother, WangoTango, UFC211	2017-05-14 03:56:07	What this toddler did to save his trapped twin brother will shock you! ,,, 		https://goo.gl/3hFxNk	robertparr1682	4418
705	26	wangotango	2017-05-14 03:04:46	 fam photo 			gocoo_59	4417
4809	0	WangoTango	2017-05-14 04:04:42	Check out all of the @backstreetboys Meet and Greet photos from  here:  Numbers 116-131		http://kiisfm.iheart.com/features/wango-tango-2017-2021/photos/5/main/wango-tango-2017-meet-greet-photos-477788/#/116/26776933	WHOTheBckstreet	4412
3794	0	WangoTango	2017-05-14 04:01:02	Goodness knows what a relationship must be. 			IckeBot3000	4346
973	149	WangoTango	2017-05-14 02:13:26	"Niall cantando This Town en el !! 
 "			Cardozo_Yanel	4342
654	152	OneDirection, WangoTango	2017-05-14 02:02:40	.@LiamPayne from  at @1027KIISFM   		https://fyu.se/v/xx11vei9jn	Lhiminated	4336
1222	0		2017-05-14 03:51:47	@HaileeSteinfeld I love you, you are the most beautiful woman in the world.💓💗😍😍 		https://twitter.com/HaileeSteinfeld/status/863600873787674624	Angelvilches4	4332
999	603	WangoTango, wangotango2017	2017-05-13 16:50:20	"Who are you most excited to see perform today at ? 

(1 day poll, vote and retweet.)

"			camilacc1BR	4323
2914	1	WangoTango	2017-05-11 08:26:18	@WK_Stylez @aaroncarter The tweet is gone. 🙄 I just told my friend that Aaron is gonna be at  &amp; I'd tell… 	Aaron		ThaRealJakeD	4319
912	35	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 01:53:30	"Camila on backstage of  

  "	Camila		garciacabello2	4293
3316	0	WangoTango	2017-05-14 03:59:30	More pics of Miley backstage  	Miley backstage		MySmilerSide	4271
64	154	WangoTango	2017-05-14 03:15:20	"Otro video de Niall cantando ""Slow Hands"" 😍😍  (via @chxudry)  "			candu2019	4261
180	0	Malibu, WangoTango	2017-05-14 03:48:09	.@MileyCyrus performing   			FabiolaRomn5	4260
158	9	WangoTango	2017-05-13 21:11:02	"AHHH @aaroncarter sang a ""I Want Candy"" remix at the  Village!  🍬 🍬 🍬"	the Village	http://bit.ly/2qe3X9b	NJHLove93	4251
3266	0	WangoTango	2017-05-14 03:59:20	Kick A$$ performance ladies @HaileeSteinfeld @jamiehauptmann  			SummerBowden4	4249
288	356	CamilaCabello, KatyPerry, WangoTango	2017-05-14 01:49:33	📸  and  at  			camEElaFoca	4247
743	56	WangoTango	2017-05-14 02:13:40	So much talent in one photo 👍🏼😁 @alessiacara @Zedd 🙌🏼   		http://KIISFM.com/wangotango	onedire79089870	4235
3689	10	WangoTango	2017-05-14 02:52:37	Miley performing Malibu for the first time ever at  ! 	Miley performing Malibu		khelms1998	4217
522	0	WangoTango, M5OnWangoTango	2017-05-14 03:49:37	SUGAR YES PLEASE  			MariSpagiari97	4206
24	14	WANGOTANGO	2017-05-14 03:28:07	"LIAM VIENDO A NIALL EN  . -CT♡

"	LIAM		sehunsunhe	4201
2690	0	WangoTango	2017-05-14 03:57:23	"""You know I had to come bearing gifts!""- Miley so cute!   💐😘🌷🌸 "			MySmilerSide	4200
3257	0		2017-05-14 03:59:20	A PERFORMER!! 		https://twitter.com/ccabellonews/status/863604528834166784	camilareecy	4193
325	157	WangoTango	2017-05-14 02:06:30	Niall en el !! 😍😍😍 			sweetcreatommo	4191
35	198	WangoTango	2017-05-14 03:16:03	UPDATE || Liam backstage at  			cacaehs	4190
4107	1	WangoTango	2017-05-14 01:45:10	Miley with her friends &amp; crew backstage at . 	Miley		chem_is_TRY__	4188
1274	36	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 00:30:36	Camila on @901Music's Instagram story     	Camila		garciacabello2	4150
2804	6	WangoTango	2017-05-14 00:53:33	Bon Appétit at  was everything, I'm in love 😍 			MyperfKaty	4148
1294	0		2017-05-14 03:52:04	BUT ADAMS HAIR THO 😍 		https://twitter.com/1027kiisfm/status/863598826787033088	awkwardninyyy	4132
69	11	WangoTango	2017-05-14 03:44:38	We can't get over @adamlevine's voice!!!! @maroon5 is rocking the  stage!!!  		http://bit.ly/2pwi3Ul	nathalia9901	4128
2067	0	WangoTango	2017-05-14 03:55:07	Beautiful Prince tribute by 😍😲😭 @maroon5 	Beautiful Prince		bertha_la	4125
87	31	SlowHands, WangoTango	2017-05-14 03:26:08	onairwithryan: just over here trying to keep our  to ourselves during niallhoran at  😬😍 			sandravasquez02	4123
1140	30	WangoTango, PREMIOSMTVMIAW, MTVINSTAGLCABELLO	2017-05-14 00:41:38	Camila with @CassieDiLaura  (via @sweetyhigh)    	Camila		garciacabello2	4121
4412	0	WangoTango	2017-05-14 04:03:11	"
My Niam heart 😍❤❤
That friendship goals ! "			1d__universe	4107
362	99	WangoTango	2017-05-14 02:34:02	Liam watching Niall's performance at   	Liam,Niall		Nialler_auan	4099
3218	19	WangoTango	2017-05-14 01:30:37	Noticing some missing band members at tonight's performance.... @katyperry WHERE ARE JOSH AND ADAM!?!? 😩	JOSH,ADAM		gabrielmvalois	4097
773	0	WangoTango	2017-05-14 03:50:25	On The Loose Love It 			margarita_haban	4096
3365	0	WangoTango	2017-05-14 03:59:38	LIAM PAYNE!!!! 	LIAM PAYNE		simplizziety	4087
655	0	WangoTango	2017-05-14 03:50:00	i would love to go a @maroon5 concert!! 			slorena415	4083
1573	0	WangoTango	2017-05-14 03:53:04	Where you at @harrystyles @Louis_Tomlinson?  		https://twitter.com/niallofficial/status/863595440758968320	901Music	4056
2333	0	babystingray, funnyanimal, WangoTango, UFC211	2017-05-14 03:56:04	Adorable Baby Stingrays Dancing with Smiley Face ,,, 	Baby Stingrays,Smiley Face	http://goo.gl/enrCi7	hannahparsons93	4052
61	361	WangoTango	2017-05-14 02:48:45	Camila and @machinegunkelly on stage at .  			Fefe1H	4041
12	363	WangoTango	2017-05-14 00:31:44	Camila with @TanyaRad on @1027KIISFM's Snapchat story   	Camila		AilennCabello	4040
3872	0	WangoTango	2017-05-14 04:01:16	LIAM WAS JUST ON STAGE IM FREAKING OUT 	LIAM		hazzasvibes	4034
3768	0	WangoTango	2017-05-14 04:00:55	If you promise to be gentle I'll let you touch my 			MrRickyGarcia	4030
1148	0	WANGOTANGO	2017-05-14 03:51:37	@adamlevine is fucken hottttttt 			KarinaJauregui	4025
1935	51	WangoTango	2017-05-14 01:25:43	Miley and Noah singing happy birthday to @tishcyrus at  tonight! 🎈 	Miley,Noah		intoulouis	4024
1668	12	WangoTango	2017-05-14 03:12:26	📸 | Liam no  . 			1DinfiniteZayn	4004
2217	0	WangoTango	2017-05-14 03:55:45	"Maroon 5 the best at  
I love them so much ❤️❤️❤️"			bryana_07	3988
2764	618	LOVERS, WangoTango	2017-05-13 22:25:47	 @NiallOfficial wants to see YOU at ! 🤞🏼Watch the live stream here:  👏🏼 		http://KIISFM.com/wangotango	LoorViviana_	3983
5002	12	WangoTango	2017-05-14 02:07:20	Niall no Red Carpet do . (7)	Red Carpet		SLOVES1D5X	3972
4346	0	WangoTango	2017-05-14 04:02:53	Thanks @maroon5 and @adamlevine !!!!  			MikaylaRagovin	3969
2389	4	WangoTango, BonAppétit	2017-05-14 00:54:55	Her dance moves during the Migos part was everything 😍🔥🔥   			trillharmonys	3962
1329	31	WangoTango	2017-05-14 02:26:43	BXIXUUSH LIAM IS THERE WATCHING NIALL MY WIG FLEW I LOVE NIAM  	BXIXUUSH LIAM		daisy_styles77	3952
3870	0		2017-05-14 04:01:14	Look who showed up to support his friends and tease his new music coming out NEXT Friday!!! @LiamPayne!!!  		https://twitter.com/i/web/status/863605097556606976	1027KIISFM	3930
1362	16	wangotango	2017-05-14 02:31:23	Niall hoy cantando ' Slow Hands ' en Wango Tango .   	Tango		addictederick	3917
2971	27	WangoTango, Malibu	2017-05-14 03:08:02	"Miley literally SLAYED the  stage!
She sang  ,Jolene and WCS!

Watch performance :… "	Jolene		JustEvaP	3916
2995	2728	Malibu, WangoTango	2017-05-11 20:31:31	.@MileyCyrus is JUST as excited as we are to watch her perform  🌊 at ! Watch the stream:… 			Mili_soledad95	3913
81	99	WangoTango	2017-05-14 02:40:01	Camila Cabello just KILLED IT at  tonight with MGK! 	Camila Cabello,MGK		aboutlittlemila	3910
1293	136	WangoTango	2017-05-14 00:52:14	"Queen @katyperry SLAAAYED the  stage! Take a peek on our Snapchat / Instagram! 
Username:… "			slayprismatic	3889
104	285	WangoTango	2017-05-14 00:43:11	Camila with fans backstage at   	Camila		sxphx_199x	3886
3675	0	WangoTango	2017-05-14 04:00:35	 WHUT? LIAM'OK THE NIGHT IS REALLY INSANE			camilizerharmos	3883
3917	2	a1array, EverythingEverything	2017-05-14 04:00:36	Our backstage social stop was so much fun! Thanks to our friends  and . Hi @Jiffpom!!… 			jiffpom	3872
1050	0	WangoTango	2017-05-14 03:51:20	"@maroon5 with the Prince ""Let's Go Crazy"" cover. I knew Adam's purple guitar meant something. Yes. "	Prince,Adam		CainMcCoy	3870
4125	28	WangoTango	2017-05-14 00:20:06	She's the cutest! We love you @HaileeSteinfeld ✨ 			RosseJ_MY	3867
823	0		2017-05-14 03:50:37	I wish... 		https://twitter.com/1027KIISFM/status/863094083681529857	Mickeynotthemo1	3865
2905	0	cc1, CC1isHere, WangoTango	2017-05-14 03:58:20	@Camila_Cabello CC1 is here!   			biancaPELIN	3859
4540	0	WangoTango	2017-05-14 04:03:42	 always with great perfomances @alessiacara @HaileeSteinfeld @Zedd @NiallOfficial @Jordan_Fisher @noahcyrus @Camila_Cabello			issisotelo	3848
935	65	WangoTango	2017-05-14 02:56:02	.@MileyCyrus was also the most interactive with her fans at  💐💐💐💐 			juliacrowe_	3844
2019	0	WangoTango	2017-05-14 03:54:57	@maroon5 WE NEED A GUITAR SOLO ON THE NEXT ALBUM 			fantasygirlm5	3825
416	4	WangoTango	2017-05-14 03:32:17	Update 🎥 | Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! /isa 			signofhstyles94	3823
1956	10	WangoTango	2017-05-14 02:37:54	Selfie from Louis, Liam at , and performances from Harry and Niall. Today has been a great day.… 	Louis,Liam,Harry and Niall		OliviaMarie1322	3800
2961	15	WangoTango	2017-05-14 00:35:34	"Pretty sure you should tune in to our Snapchat / Instagram right now... 
📱: @capitolrecords 
 "			captain_smores	3794
