ID	#ofRts	HashTags	TweetText		URL	User	Randomize
1673	0	UFC211	Masvidal just came out to the scarface theme 			DerekBurnz	ID
1821	0	UFC211	 if Maia wins this...whats the excuse for not giving him the title shot?	Maia		Eduardo66297020	2161
99	0	UFC211	LETTTSSSS GOOOOOO  			brycetriathlete	2160
1312	0	UFC211	Rodriguez moves away from Jackson Wink and suddenly all the gameplanning is gone along with the good corner advice. 	Rodriguez,Jackson Wink		TomTalksMMA	2154
928	0	UFC211	If that was in vegas would they have stopped the fight ??? no 	vegas		MMAGAME1	2152
421	328	Reebok, UFC	Once this tweet with my   sweatshirt hits 250 RT the contest will begin.  I will custom sign for winner!… 			ActionFanboy	2151
1749	0	UFC211	i wanted to root for Maia in this fight until i heard his entrance music. 	Maia		danield6	2147
518	2	ufc211	Respect to @panteraufc and @FrankieEdgar both guys are great fighters. 			burrell315	2142
732	1	UFC211	Way to go @JamesVickMMA! 			JamesVickMMA	2139
481	1		And that fight right there is why I desperately wanted to see Frankie Edgar go against Conor McGregor. Would have been great 	Frankie Edgar,Conor McGregor		EdSmith313	2137
231	0	UFC211, UFCDallas	Regardless. Maia is a legend in this sport as well. He has so much experience and has been in the UFC for over 10 years!!! 	Maia,UFC		DylanBagwell	2132
994	0	UFC211	"There is a lot going on in Jorge Masvidal's head. 

I wouldn't want to meet him in a field full of police, never mind a dark alley. "	Jorge Masvidal		TomSunderland_	2131
168	0		Just hope Maia wins so he deservedly gets his shot at the title... 	Maia	https://twitter.com/MMAFighting/status/863593876119994369	shannon_ae	2127
1549	0	UFC211	Before tonight's  main event, take one last look at who fellow ufc fighters are picking in stipemiocicufc… 		https://twitter.com/i/web/status/863594165577187328	MMAHWatch	2126
2062	1	ufc211	I'm making my grandmother watch  and her reactions are hysterical.			Sam_Ah_Yo_Ah	2118
631	0	UFC211	Masvidal v Maia up next. This is going to be a great fight &amp; contrast of styles. 	Masvidal v Maia		MarioMelrockero	2115
2049	0	UFC211	I got Maia, he even comes out to my favourite song from high school. 	Maia		TomTalksMMA	2114
888	0	UFC211	Maia going to Carlos Condit this one 	Carlos Condit		rickadan	2113
734	10	UFC211	.@JamesVickMMA is calling out the UFC for a promotion after his dominating performance at .  	UFC	http://snpy.tv/2pKceyo	beard_of_glory	2111
1078	0	UFC211	Still coming out to Numb. Makes me want him to win every time nendndmdnd 	Numb		NickiDupre	2110
1034	0	UFC211	MMAFightingThat’s a very probable 10-8 for Edgar. Rodriguez is busted the hell up. Damn. Ground and pound all day. 	Edgar,Rodriguez		MMAHWatch	2109
1352	0	UFC211	I'd love to see Jorge destroy Maia. 	Jorge,Maia		SJD10304	2108
693	0		Dak is big time 		https://twitter.com/ufc/status/863573881608589312	mandwnation	2106
687	0	UFC211	@GamebredFighter coming out to the Scarface song is applaud worthy. 	the Scarface		_jordancamacho_	2102
1303	0	UFC211	Let's go Miah! 			MehulBear	2098
203	0	UFC211	💰💰 the Edgar fight put me way over the top but if I hit this next one hits 🙌🏽🤣🙏🏽💰💰💰🇧🇷 	Edgar		PushinWeight	2097
582	0	UFC211	And Maia is coming out to linkin park lol. Maia already lost this fight 	Maia		destroytyler	2096
1049	0	UFC211	Masvidal to do to Maia what Whittaker did to jacare? 🤔	Maia		Rickyaddison95	2095
861	0	UFC211	"@GamebredFighter v @demianmaia
Maybe the fight I am most looking forward to at
 "			Kai_Squared	2094
590	0	UFC211	Reminder than Demian Maia has absorbed just 13 significant strikes over his past four fights combined. Unprecedented. 	Demian Maia		MikeBohnMMA	2092
346	0	UFC211	Oh my.  (@allelbows) 			MMAFighting	2089
124	0	UFC211	Masivdal is one mean son of a b*tch. 			TFrenchOnline	2087
1170	0	UFC211	I think that @GamebredFighter takes this. This will be a striking affair. 			TheMMAMatthew	2086
1178	274	UFC211	RT if @joannamma defends again at  tonight! 🏆 			8Britt9	2080
1859	0	UFC211	Brazil just discovered Linkin Park 🤔	Brazil,Linkin Park		Bobby_Beats	2079
330	0	UFC211, JerseyStrong	Frankie is handling that BUSINESS  	Frankie		414Remy	2077
43	0	UFC211	@BrendanSchaub Got the same,surely a title shot for whoever wins this 			RyanBoulton1998	2075
1522	16	UFC211	Edgar raining down punches from top position with 30 seconds left in the first round 	Edgar		MrAmazingAustin	2071
1019	0	UFC211	MMAFightingWhat’s that noise? 			MMAHWatch	2069
1387	0	Levels, UFC211, UFC, MMA	@FrankieEdgar literally mopped the mat with @panteraufc for two rounds!    			ram_ilan	2068
696	0	ufc211, ufcdallas	@julesk_fighter loving this @demianmaia walkout music  			thomasjw	2066
1211	0	ufc211, jorgemasvidal, fighter, ufc, bjj, mma, nyc, happygirl	Hope he wins tonight!         @ Lower… 		https://www.instagram.com/p/BUDrOoxlnEs/	free_bunny86	2065
1891	0	UFC211	Can't believe we still got three scraps left. Two of them are title fights. Holy cow! What a night!!!  has delivered.			MMAjunkieGeorge	2064
952	5	UFC211	 results: Frankie Edgar def. Yair Rodriguez via TKO (doctor stoppage) - Round 2, 5:00 … 	Frankie Edgar,Yair Rodriguez via TKO		MariLovesMakeup	2062
576	0		Dammmmmmmmme 		https://twitter.com/MMAFighting/status/863594252378316800	A7medBenyousef	2060
1206	0	UFC211	Come on Maia!!! Please don't pull off a Jacare Souza. 	Maia,Jacare Souza		TabsterOPuppets	2052
1219	0	UFC211	@demianmaia here we go! 			jtbsoon2b	2050
1591	0	UFC211, zacbrownbandlive	Kendrick Lamar Damn! Bev Hills Cops Love Me    Bobby Ryan... 	Bev Hills Cops Love,Bobby Ryan	http://oscrape.com/p/208297, http://fb.me/2ZUjxzWc2	iam_dapeter	2049
1471	0	UFC211	Let's go Maia! I want to watch Masvidal tap 	Maia,Masvidal tap		riju_nayak	2046
1318	0	UFC211	I expect a great display of BJJ by Maia 	Maia		CityHunterKai	2045
1331	0	UFC211	Yair Rodriguez left eye swollen shut from Frankie Edgar's punishing strikes via elbows and jabs. 	Yair Rodriguez,Frankie Edgar		combatesmundial	2042
247	0	UFC211	Hope Maia wins but I can see a Masvidal KO hope I'm wrong 	Hope Maia,Masvidal KO		LomaIsGOAT	2040
323	24	UFC211	"This dude Jason Knight proves to be must see TV yet again. Seeks the finish non stop. ""Mississippi Mean"" indeed. "	Jason Knight,TV,Mississippi		lpkbookit	2039
2118	0	ufc211	Bruce Buffer looking like the plug in the 80s with that blazer 	Bruce Buffer		theckmjgroup	2036
520	59		Yair will be the champ one day. Out of ALL the 45ers in the world Frankie is his worst match up. Mishandling of a l… 	Yair,Frankie		ratchetm0ran	2031
1157	24	ufc211	Seeing Alvarez survive that exchange really puts @TheNotoriousMMA left hand into perspective. 	Alvarez		EJBarr3	2027
1041	0	UFC211	MMAFightingEdgar 10-9 in the second and 20-17 overall. He’s schooling the young buck right now. 			MMAHWatch	2026
1679	0	UFC211	"Fan Poll results as of writing this:
Maia - 68%
Masvidal - 32%
"	Maia		ChokeHoldMMA	2021
194	81	UFC211	And that's it! The fight has been stopped by ringside doctors. Frankie Edgar gets another big win 	Frankie Edgar		EAsXe	2017
1431	0	frankieedgar, UFC211	My God Rodriguez eye.... Ouch  	God Rodriguez		michellensteve	2014
1247	0	UFC211	This fight is basically UFC trying to put a hit out on Maia 	Maia		McJustTweeted	2013
901	0	UFC211, UFC, MMA	Maia has single leg of doom. Only been hit 14 times in last FOUR fights. Masvidal has nearly 80% takedown defense.   	Maia		AcostaIsLegend	2011
755	0	UFC211	" @ufc if @GamebredFighter gets taken down its over until itz standing the fight is on but he will be taken down 
@BloodyElbow"			anand316	2009
866	139	UFC211	Great card for @ufc  I'm going with Stipe, JJ, Maia, Edgar, Eddie - who you got? Gonna try stay up for this… 	Stipe,JJ,Maia,Edgar,Eddie		rynstien	2007
290	0	UFC211	Come on Maia. Let's put a stop to this clowns run. 			TurboTwist986	2004
541	0	UFC211	Maia all day, every day!  	Maia	https://twitter.com/mmafighting/status/863593876119994369	Other_Girl	2000
1003	0	UFC211	Masvidal came out to the theme from Scarface?! Ok that's quite legendary to be fair 😂👍🏻 	Scarface		JDaBuddah	1998
1690	0	UFC211, QandA	"So, @demianmaia has the 2nd most submission victories in UFC history. Who has the first?

"	UFC		UFC_AUSNZ	1997
1845	0	UFC211	Masvidal coming out to the scarface theme song 🔥 			Jon_Jitsu71	1996
517	0	UFC211, BestCardOfTheYear	"THIS. CARD. IS. 🔥🔥🔥🔥🔥🔥🔥

 "			eTHEgoddess	1995
964	0	ufc211	Have I ever mentioned I love Daniel Cormier? Great talent and heart. Great champion. Awesome commentator! @dc_mma @ufc 	Daniel Cormier		Llana	1993
1882	0		My god this is horrific! 😂😂😂 I LOVE it! 		https://twitter.com/999wwenetwork/status/863594202445344768	themarkysmark	1991
1777	0	UFC211	Maia going to choke him unconscious 			BobJohn52762159	1990
1548	0	UFC211	...and Maia with such a classic walk out song, such a legend! 	Maia		GordieMcGuire89	1989
1375	0	UFC211, BJJelite	@demianmaia come on champ! Win this and no one can deny you the title shot anymore!  			RedStarRony	1988
1381	0	UFC211, UFCDallas	I still think @GamebredFighter &amp; @sergiopettis  are the same person lol   @MMALatestNws @TommyToeHold @MMAFighting 		https://twitter.com/i/web/status/863594693996818432	cminer74	1986
173	0	EasyMoney, ufc211, TopTeamTakeover	Let's go @GamebredFighter!!!    			AmericanTopTeam	1981
1617	0	UFC211	I'm super confident in Maia here. Which means Masvidal is about to mess him up. 	Maia		ThatBryceMartin	1976
357	0	UFC211	2-0 for ! Let's go mia for my 3-0!			DatBoiFlexJr	1975
339	15	UFC, UFC211	Matchmaker Joe Silva will be inducted into the  HOF this July. Well deserved for sure! 	Matchmaker Joe Silva		BeardedMMA	1974
1582	35	ufc211, camelliasolanabeach	"Headed to @rivolis to watch  
I'm super grateful to have been styled by  for this specia… "			Tempted_2_love	1973
109	0	ufc211	it's quase time 			bull_etproof	1971
1360	0	UFC211	What would your walk-in choon be, guys? 			_RayneScar	1969
159	108	Eurovision, UFC211, WhitePeople, CNNsotu, JudgeJeanine	"Remember when CNN colluded with HRC and the DNC? I do.

     "	CNN,HRC		caesarman2012	1968
595	0		🤔🤔🤔.....hard choice 		https://twitter.com/danawhite/status/863594054298324992	PegasusRush	1967
694	0	UFC211	Maia coming out to Linkin Park's - Numb 	Linkin Park		TheUFCUpdates	1966
1371	0	UFC211	 what's really funny @dc_mma was how mad Fitch was that someone took him down and held him down	mad Fitch		GriiffinNoel	1965
1655	0		These NUGGETS! 		https://twitter.com/ufc/status/863573881608589312	jacie_me_rollin	1964
667	0	UFC211	LETS GO MAIA! 	MAIA		ggooglyboogly	1958
1885	0	ufc211	Welp. I was cheering for Maia tonight. Then he had to walk out to Linkin Park. Yeah I don't know if I can do that now 	Maia,Linkin Park		MrIzdik	1957
216	0	UFC211	This is going to be some fight!! 			RossKiely95	1946
376	3	UFC211	I love that Masvidal doesn't even try to play to the cameras when shadowboxing 			gizzmo11477	1940
1486	0	UFC211	Now that I've talked shit to @eugeneSrobinson, @GamebredFighter has a jinx working in his favor.  		https://twitter.com/fight_whisperer/status/863593998564421632	Fight_Whisperer	1939
1434	0	ufc211	@FrankieEdgar is one impressive fighter 			TSDpod	1938
1663	0	UFC211	"@GamebredFighter wins the battle of walk out music. 
"			JerseyChi	1933
1142	0	ThrowBack, UFC211	Props to Maia for walking out to Numb  	Maia		teddyboivin	1932
289	26	UFC211	Crowd reaction says it all  			theysaymateo	1931
2042	0	UFC211	@FrankieEdgar will always be the fan's favorite.  Dude is a beast. He's humble.  And always brings it! 			theyoungjoo	1929
674	0	UFC211	Masvidal coming out to the Scarface theme. Aaaahahahaha 	Scarface		HishDev	1924
1259	0	UFC211	I pick Masvidal to win big here because Maia has Numb as his walkout song. 	Maia		_SeanDonnelly	1923
1313	0	UFC211, SignTheFeatherweights	@MeganA_mma I'm a huge Maia fan but I'm nervous for sure.   	Maia		TheShaneRussell	1922
561	0	UFC211, UFC, MMA	UFC hates Maia so much they make him walk out to Linkin Park.   	UFC,Maia,Linkin Park		AcostaIsLegend	1921
1073	0		I like both of these guys. I'll be sad no matter who wins. I'm leaning Maia tho. 		https://twitter.com/BloodyElbow/status/863592355923767297	ProfessorBLove	1918
646	0		Fuck sake man!!! 😷😳 		https://twitter.com/MMAFighting/status/863594252378316800	S_Shady7	1917
856	0	UFC211	Masvidal walking out to the Scarface theme music 	Scarface		evil_ecco	1915
13	0	UFC211	 Post Fight Interview with @DavidcBranchMMA 		https://www.youtube.com/watch?v=jHu9mP0LvZU	TheTruthJackson	1913
971	0	UFC211, UFCfi	Oh yes. Let's do diiiiiiz @demianmaia !  			LarsLapamato	1910
2096	0	UFC211	The timeline goes to shit when no sports are on....I'm watching  though 👍👊			500KFlea	1908
870	0	UFC211	Dunno why but Demian Maia coming out to Linking Park is hilarious 	Demian Maia,Linking Park		riju_nayak	1904
1336	0	UFC211	@ufc I didn't go to the beach with my fam bc i was hoping Yair would win the fight 😫 			MachineGunJofee	1902
128	0	maia, ufc211	Rooting for  			pcassidy_UK	1901
1940	0	UFC211	There may be no fighter on the UFC roster I'm more unabashedly rooting for than Demian Maia. 	UFC,Demian Maia		JesseScheckner	1900
511	0		Crap... 		https://twitter.com/MMAFighting/status/863594252378316800	marc_raimondi	1898
1993	0	UFC211	😳  @FrankieEdgar congrats! 		https://twitter.com/mmafighting/status/863594252378316800	byyeoside	1895
1726	0	UFC211	"CONGRATS JOE SILVA on the Hall of Fame @ufc
 "	CONGRATS JOE SILVA		islandmobosp	1891
1489	0	UFC211	Edgar just messed him up  	Edgar	https://twitter.com/Cagesidepress/status/863594553952976896	JayAndersonMMA	1885
536	0		Maia finna lose 	Maia	https://twitter.com/ufc/status/863593847410110466	MrDibsGotScampi	1883
1390	0	UFC211	Maia is awesome, but walking out to Numb by Linkin Park is not. 	Maia,Linkin Park		Super_EWilliams	1882
1257	0	UFC211	It's a joy to watch Maia. The epitome of a martial arts master. 	Maia		AckerooBanzai	1881
2050	0	DosSantos, Miocic, UFC211, boxing	Wow TV  UFC 211 Live   Stream Edgar vs.  Rodriguez      Get Your Link  	Edgar,Rodriguez	http://bit.ly/2rctMnc	muktanpi	1879
1732	0	ufc211	Gatekeeper doin his thing, that eye though 			Del_Thinks	1878
545	2	uFC211	The fight the UFC never wanted was Frankie vs McGregor.. it would have been interesting to see. 	UFC,Frankie		SchooiWood	1877
1682	0	Masvidal, UFC211	@danawhite bout to be $200K richer if  loses tonight? 			FightClipFilms	1876
1152	0	UFC211	God damn this is a good card. 			bradnewsbear	1875
1964	1		DC is awesome! 	DC	https://twitter.com/pwpnation/status/863586800153100290	PWPNation	1871
1335	0	UFC211	 results: @FrankieEdgar stops Yair Rodriguez via TKO at (5:00) of Rd 2. (doctor stoppage end of Rd 2/Yair eye swollen shut)	Yair Rodriguez,TKO		combatesmundial	1870
1509	3	ufc211	That's bullshit it shouldn't be a NC he should have got DQ 	NC,DQ		CodyS777	1866
584	0	UFC211	Sucks to see Yair lose like that. Edgar is just too dominant. Now let's go Masvidal !! 	Yair,Edgar		MisreadPoet	1865
261	1	ufc211	I'm giving you $5 off each of your first 4 Uber rides. To accept, use code 'jesusn919ue' to sign up.  			mrspdipset866	1863
942	0	UFC211	Can we please get this guy a title shot @demianmaia 			TeamEganMMA	1862
21	29	UFC211	How do you deal with Yair's style? Frankie Edgar had The Answer 	Yair,Frankie Edgar		GBilefete	1861
1578	0	UFC211	I feel like Maia didn't respond to the email requesting walkout songs and got stuck with Linkin Park. 	Maia,Linkin Park		BenjaminAbrigo	1860
477	1		Us handicappers shy away from nepotism and cronyism, @eugeneSrobinson. 		https://twitter.com/fight_whisperer/status/863593507050729472	eugeneSrobinson	1859
187	1	UFC211	Now I wanna watch Scarface. 	Scarface		mancillas_jose	1857
1574	0	UFC211	"🐐 GOAT QUOTE 🐐

@FrankieEdgar |  "			ufc	1856
170	0	UFC211	Before tonight's  main event, take one last look at who fellow @ufc fighters are picking in @stipemiocicufc vs. @junior_cigano. 		https://twitter.com/i/web/status/863594165577187328	MMAjunkie	1851
1871	0	IamwithFrankie, UFC211	"Let's go Frankie!!!! Knock this kid out!
 "	Frankie		RowdyTomCat	1848
1800	1	UFC211	Terrific fight here. Yair has championship potential, but is he ready to beat someone like Frankie Edgar? 	Frankie Edgar		RaCuevas	1847
1713	0	UFC211	@demianmaia coming out to a LP Song when @LIKINPARK_ was actually good. 	LP Song		GarryISRad	1846
1561	0	UFC211	@FrankieEdgar is a real life rocky balboa and an absolute legend 	rocky balboa		TDeathstar	1845
989	0	UFC211	Maia coming out to Linkin Narc? Ruh roh! 			theeffect1500	1844
142	1	ufc211	Let's get this Frankie 			CharlieGruver1	1841
1351	0	ufc211	Demian maia walking out to Linkin park!!! 	Demian maia,Linkin park		nickcox42	1839
1677	0	UFC211	"Demian Maia vs. Jorge ""Gamebred"" Masvidal is going to be SO interesting! I honestly don't know how this fight will end! Let's see! "	Demian Maia,Jorge		SexyJairBear	1837
1056	0	UFC211	MMAFightingThe fight is over. Edgar by TKO, doctor’s stoppage. 	Edgar,TKO		MMAHWatch	1835
550	1		No contest or not, lets hope those two get something from @ufc for that performance. Great fight while it lasted. 			anttopquality	1827
138	32	UFC211	We see you @ALIAQUINTA 😂  			Black_Lee13	1826
416	2	UFC211	Lol Frankie destroying him atm 	Frankie		FashionHitList	1824
1076	0	UFC211	Cool that matchmaker Joe Silva will be inducted into the UFC Hall of Fame. That's a tough job, pulled 100 different ways daily. 	Joe Silva,UFC Hall of Fame.That		ArdaOcalTV	1821
1373	0	UFC211	Demian Maia is so enjoyable to watch 	Demian Maia		Jumanator	1815
66	0	UFC211	Damn. Yair didnt stand a chance. 			Eliseo951	1812
1824	0	UFC211	Total mauling  Edgar schooled the young buck I think Maia bout to do the same ting .!	Edgar		shockusmaximus	1811
404	0	UFC211	I got Maia right here. But the Scarface music is definitely a cool touch from Masvidal. 	Maia,Masvidal		TheJakeMitchell	1809
630	0	UFC211	Ugh, DC's voice and personality annoys me. hope Jones destroys him in their rematch 	DC,Jones		DrunkRufie	1808
1681	0	UFC211	Ballsy move for Maia taking this fight. Says a lot for his confidence. 	Maia		OctagonPost	1806
1290	0	UFC211	Yair Rodriguez after 15minutes   	Rodriguez		BronsonMMA	1805
1521	2	UFC211	OMFG!!! WHAT A FIGHT!!! Chase Sherman vs Rashad Coulter !!! 	Sherman,Rashad Coulter		TheEnforcerJG	1800
1062	0	UFC211	Let's go Maia! 🇧🇷 	Maia		GordieMcGuire89	1799
1328	0	ufc211	Nice cold brewskis  and combat sports. I am in my happy place .			alstover	1797
1198	0	ufc211	Ok, Joe-Jitsu, we know Maia is great at BJJ, just relax. 	Joe-Jitsu,Maia,BJJ		billthebutcher2	1796
492	0	UFC211	"@GamebredFighter is the epitome of the overused term ""gangster""  "			laura_sanko	1795
