ID	#ofRts	HashTags	TweetText		URL	User	Randomize
1975	0	UFC211	 Whats up with the screaming lady in the audience? Plz shut her up!			breezey2399	1790
1466	0	UFC211	Linkin Park? Linkin Park. And the OLD Linkin Park. 	Linkin Park,Linkin Park,Linkin Park		johnmichaelsaid	1789
612	0	UFC211	Did Dana take that 200k bet...? 	Dana		liteshots	1788
780	0	UFC211	I'm taking @GamebredFighter just a beast of a fighter always has been 			MMA_KIN	1785
892	0	UFC211	"He's walking out to Linkin Park 😳😂
"	Linkin Park		_AIZENBERG_	1777
131	1	UFC211	Wow! @FrankieEdgar just taught a ground and pound clinic to the talented @panteraufc! @ufc  			RealFunnyMMA	1774
277	0	UFC211	I got Maia winning this 	Maia		2reel4you	1773
1472	0	ufc211	Sooo up in the air with this one! Great fight! Going with masvidal though 			kcpko	1771
94	266	UFC211	Huge shots by @FrankieEdgar land on Yair!  	Yair		JFCarterIII28	1770
962	0	UFC211	The cut man screwed over Yair Rodriquez in between rounds  cmon refs and cut men DO. YOUR. JOB! 	Yair Rodriquez		DeionTrueToATL	1769
6	256	UFC211	"Pure domination!

@FrankieEdgar reminds us that he's a straight BEAST!!  "			CoachJankos	1767
1322	0		Love @FrankieEdgar I want to see that title around his waist again! 		https://twitter.com/ufc/status/863593127210352640	OneOnly368	1758
1479	0	UFC211	is that fucking linkin park Meia?! 			DojoMaul	1756
801	1	UFC211	Exactly my thoughts  		https://twitter.com/thomasjw/status/863590834112872449	thomasjw	1754
560	0	UFC211	Let's go Maia ! 	Maia		DejaHill97	1753
1973	1		CNN exemplifies the empty calories of infotainment with meaningless noise signifying nothing but the dmise of state… 	meaningless noise		DoreeeV	1752
414	0	Dominant	RT Dmoceanu: 👊🏻 Always fights with his heart!   		https://twitter.com/ufc/status/863591471320059909, http://cur.lv/15582f	GetPaidinBlood	1749
1847	0	UFC211	"When one fighter enters to the song from ""Scarface"" and the other enters to  ""Numb"". Tells you the mindset of the fighters "	Scarface,Numb		TonyAbah01	1747
1016	0	UFC211	Let's go @demianmaia  			wehaveagronk	1745
1788	0	UFC211	Let's go @demianmaia! 			AjOsterkamp	1744
721	0	ufc211, ufc212	Holloway vs Aldo is going to be a 5-round war ending in a close decision. Anything else would be shocking imo  	Holloway,Aldo		JonBon_Joey	1743
1370	0		I feel like it's because he thinks the lyrics are about choking someone. 		https://twitter.com/EliasTheodorou/status/863594496042442753	TonyThumbPoke	1742
1639	0	UFC211	Maia vs. Masvidal giving me goosebumps.  	Maia	http://www.mmaplus.co.uk/round-up/ufc/ufc-211-live-blog-miocic-vs-dos-santos/	andremgeorgiou	1740
1441	0	UFC211, TheAnswer, saturdaynight, NewYork, RealDeal, livinglegend	@FrankieEdgar beat up @panteraufc like hes bestfriends with @bjpenndotcom      			SBTheCritic	1735
601	0	UFC211	Masvidal just oozes confidence 	Masvidal		RealCJHanratty	1733
1922	14	UFC211	"🇭🇷🇺🇸 @stipemiocicufc
🏆 Heavyweight Champ
👊 
📆 Tonight! "			_LeoLeoLeoLeo_	1732
4	0	UFC211	 that sucks that the fight didn't go all three rounds but Frankie Edgar got their Victory and that's good enough I guess but oh well	Frankie Edgar		chris_drop	1729
333	0	UFC211	 RT @TommyToeHold: Masvidal coming out to the Scarface music is one of my all time favorite entrances. It's perfect. 			FredoWin	1727
135	0	UFC211	  Masvidal got me convinced with that music.			Pete_Hero	1726
191	1	UFC211	"I got Masvidal, but don't feel confident at all about it. Maia is such a beast. Here's my breakdown 
"	Maia		blakjordanbreen	1725
904	0	UFC211	"""Gamebred"" vs. ""The Sleep-Inducing Backpack"" next! 🛌 "			IndeedIndeedInc	1723
120	4		". @FrankieEdgar was fired up walking by media row. He just sent a reminder to anyone who doubted him going into this fight
"			DbLaZe802	1714
1900	0	UFC211	"Maia with the Linkin Park classic walk out song 
"	Maia,Linkin Park		tootalljoness	1713
1769	0	UFC211	Yay Maia coming out to Numb by @linkinpark. Fucking love this guy. 	Yay Maia		joshflowers1	1711
534	0	ufc211	masvidal the executioner 			Demitriousj	1708
259	0	UFC211	 pretty crazy I bet you everybody thought that Frankie Edgar was going to get beat up because Rodriguez is so good but the opposite☺😀	Frankie Edgar,Rodriguez		chris_drop	1706
891	0	UFC211, edgarvsrodriguez	So far the prelims for  have been better than the main card. Last 3 were all fight of the night contenders. But  👌🏾			BoydAlmighty	1705
180	1	UFC211	Cuban nigga comes out to scarface theme song winner in my book, Arriba 🇨🇺!!!!! Lmao 	Arriba		hrln_89	1704
327	3	UFC211	I have so much respect for Frankie Edgar 	Frankie Edgar		FashionHitList	1702
540	0	UFC211	Masvidal is coming for that title! 	Masvidal		ElPayasoMMA	1701
101	52	UFC211	Wow! @DustinPoirier pouring it on Eddie Alvarez at !! 	Eddie Alvarez		AlwaysEvolving_	1697
1990	0		Hopefully he will never win another one. 		https://twitter.com/SeanSheehanBA/status/863592157751496704	TICKPADDYDARREN	1695
151	1	UFC211	Live community chat  Maia vs Masvidal on the Sherdog Forums!!!  @sherdogdotcom… 	Maia	http://bit.ly/2qeEnkm	SherdogDrake	1694
332	44	UFC211	Everyone who just watched David Branch def. Krzysztof Jotko please look into my pen here ....  	David Branch		AaronG80	1690
147	0	UFC211, DoctorWho, MasterofNone, frontcover, WangoTango, F4F	U have a secret here is a place to share it no judgements or DM is cool too      			JaneDoethinks21	1685
1148	0	UFC211	He came out to the scarface theme 😂😂 			800Hertz	1684
1233	0	TeamEasyMoney, UFC211	  let's go @GamebredFighter 			ricoj3323	1683
1876	0	UFC211	God, this fight is special. Masvidal/Maia @ufc @lthomasnews 	God		Chrismark94	1682
38	39	UFC211	Highlights from Frankie Edgar vs. Yair Rodriguez  	Frankie Edgar,Yair Rodriguez		ARomeroXVII	1681
799	0	UFC211	This is my main event 			RJD_96	1679
387	2		Let. Them. Know. 👊 		https://twitter.com/ufc/status/863593127210352640	KingCalmette	1678
161	138	UFC211	Frankie is a dream killer  Congrats 🎈	Frankie		JoshElliott313	1677
239	0	UFC211	I got Demian this fight 			Fuckjorgetbh	1676
44	0	UFC211	Maia vs Masvidal should be fantastic. Maia deserves the title shot but damn Masvidal is so much fun 	Maia,Maia		Luv_Shukla	1673
1048	4	FansWin, UFC211, JorgeMasvidal, DamienMaia	Yikes two of my favorite fighters up next!     @ufc			CollinBreaux	1666
1377	0	UFC211	@EliasTheodorou That first album was pretty sweet tho.... 			ArdaOcalTV	1665
11	40	UFC211	Punchfaces galore, y'all. That was ridic.  			GleidsonMMA	1663
430	0		Straight killer. 		https://twitter.com/ufc/status/863593127210352640	Slapcevic12	1662
624	0	UFC211	I like Masvidal but this is a easy win for Maia 	Maia		Moshinho	1660
1998	0		damn, @FrankieEdgar fucked him up pretty bad! 		https://twitter.com/mmafighting/status/863594252378316800	ItsJanado	1656
785	0	UFC211	If I can't watch a @TheNotoriousMMA or @Cody_Nolove fight ???  will do! Haha! Great card so far! 👊			Nameluss1	1655
2036	0	UFC211	"Dear Demian Maia,

Please don't get Nate Marquardted again by Masvidal.  @UFC"	Demian Maia,Nate		MikeJBknows	1654
1694	0	UFC211	Hope @demianmaia gives @GamebredFighter some humble pie 			Toby98	1653
725	2	UFC211	"More of the same by @FrankieEdgar
 "			FriskoAteUrKID	1652
678	0	ufc211	Already nervous as shit. Let's go @GamebredFighter !!!! 💪🏼💪🏼💪🏼			berdgit	1651
39	0	UFC211	Let's go @GamebredFighter !!!! 🔥👊🏻💪🏻 			Muay_Thai_Lover	1647
1697	0	UFC211	does another number one contendership keep his slot or does the Agent 47 of UFC take it from him 	UFC		DaDrainPipe	1645
1020	0	UFC211	Scarface theme I love it @GamebredFighter 			CigarCity27	1640
826	0		Damn 		https://twitter.com/MMAFighting/status/863594252378316800	Franksantin_23	1639
681	0	ufc211	"Frankie edgar vs cub swanson?
"	Frankie edgar		JoeRoga64441572	1637
789	0	UFC211	"Demian Maia walks out to Linkin Park “Numb” 
  "	Demian Maia,Linkin Park	https://www.youtube.com/watch?v=kXYiU_JCYtU	sherdogdotcom	1636
538	0	UFC211	"Jorge Masvidal self-imposing Arn Anderson's ""Enforcer"" duties on the UFC roster. "	Jorge Masvidal,Arn Anderson,Enforcer		SecretMovesMMA	1635
334	0	UFC211	 Post Fight Interview with @DavidcBranchMMA @BSO 		https://www.youtube.com/watch?v=jHu9mP0LvZU	TheTruthJackson	1634
2152	0	gamebred	Here we go!  		https://twitter.com/danawhite/status/863594054298324992	user004931	1633
1799	0	UFC211	If Masvidal can take Maia into the 3rd round, Maia will tire &amp; be susceptible to be KO'd. Otherwise Masvidal will be subbed in 1st. 	Maia,Maia,KO'd.Otherwise Masvidal		MontyArthur	1632
420	0	UFC211	What's up MichaelIrvin88?!   		http://cur.lv/15582f	GetPaidinBlood	1631
622	0	UFC211	Alright!!! 			JericsonCantubs	1626
1870	0		Yuuuuuckkkk. Doesn't even look like himself 		https://twitter.com/mmafighting/status/863594252378316800	ChrisC0llins	1625
1099	0	UFC211	@GamebredFighter coming out to the Scarface theme was cold as ice!! 	Scarface		EmpeyJoel	1624
1826	0	UFC211	Maia threw more shadow-box punches in the hype package than he will in this fight. 	Maia		bendertm	1623
1624	0	UFC211, zacbrownbandlive, WangoTango	TMT Boxer Broke And Driving Uber    Bobby Ryan ... 	Bobby Ryan	http://oscrape.com/p/208300, http://fb.me/19rbR5cW0	iam_dapeter	1622
939	0	UFC211	DEMIAN WHAT ARE YOU DOING. LINKIN PARK CURSE. NOOOOOO 	LINKIN PARK CURSE		Sir_Brendan	1620
666	0	UFC211	Come on Maia 	Maia		DPlatt3699	1619
568	0	UFC211	Masvidal is a true fighter with a salty 32-11 record, but I like him for this matchup. 			christianvluc	1618
1091	0		Good heavens.  Top level mangling. 		https://twitter.com/mmafighting/status/863594252378316800	TheEliJordan	1617
2115	0	UFC211	" Very Interesting Fight Coming Up!!
@GamebredFighter vs @demianmaia??"			AnthonyHunt9	1616
395	74	UFC211	Eddie Alvarez won that fight via Prison Rules. 	Eddie Alvarez		That_guy_621	1612
1458	0	UFC211	Come on @demianmaia 			XdanielkingX	1609
627	346	DefendTheLand, UFC211	"Good luck to the champ @stipemiocicufc tonight! 👊🏼
 
We’ll be cheering for you when you  at !… "			TayWits	1608
816	0	UFC211	Maia v Masvidal this was my favorite interesting matchup to watch. Can anyone in this division figure the puzzle of Maia 👀	Maia,Maia		mvpdream34	1607
1289	0	UFC211	Maia is the greatest BJJ practitioner to ever step into the octagon.  	Maia		Notorious_RAF	1604
402	3	UFC211	So pumped for this match up! Who you got?  			Migstah	1602
938	0	UFC211, LEGEND	Congrats @FrankieEdgar u did great job! titleshot next!			knockouts365	1601
2017	0	UFC211	Maia can still get it. 			RealMainEvent	1600
483	16	UFC211	Watching Edgar smash the shit outta that damn eye  	Edgar		ikilled_anthony	1598
1125	0	ufc211	Let's go Maia. 	Maia		mcshanesound	1597
1368	0	Fiverr, UFC211, zacbrownbandlive	Check this out! I will do computer networking and IT security on    		https://www.fiverr.com/s2/887fdf0321	newton_engineer	1595
343	5		Yep. I think Yair needs to move to a bigger camp, full-time. 		https://twitter.com/Patrick_Wyman/status/863591812568465408	mookiealexander	1591
40	1		Maia has the best bjj in MMA &amp; if he takes Masvidal to the mat, it's a done deal but if it stays standing, that's Masvidal's fight 	Maia,MMA		mrlopez84	1588
617	0	ufc211	lets hope this is proven wrong.  		https://twitter.com/Fight_Ghost/status/863196888182411266	thanew	1586
963	0	UFC211	Masvidal can absolutely win. Takedown defense and boxing are his best friends tonight. 			westcoastlolo_	1584
144	0	UFC211	Well deserved! @FakeJoeSilva  		https://twitter.com/arielhelwani/status/863592608450433024	morgyman	1582
1545	0	UFC211	A title shot is on the line at . It's demianmaia vs. Jorge Masvidal (GamebredFighter) up now.… 	Jorge Masvidal	https://twitter.com/i/web/status/863593643994566656	MMAHWatch	1580
1389	0	gruesome, UFC211	Tbh I honestly thought Pantera was going to win this one but oh well... Nice performance by Frankie though  	Pantera,Frankie		AlexRdz185	1579
1647	0	UFC211, mma, mixedmartialarts, ufc	One of the few times I fuck with Linkin Park is when Demian Maia comes out to the cage    	Linkin Park,Demian Maia		LibertyMediaCAN	1578
1467	0	UFC211	lmao rip yair rodriguez's eye that was disgusting i am fully aware i am very late in tweeting that 	rodriguez		realcamshady	1576
267	10	ufc211	Joe Silva would not have made Yair/Edgar. :) 	Joe Silva		FaintOfMatts	1574
1059	0	UFC211	I got Maia here. 	Maia		Skyrim_Jobs	1572
474	0	UFC211	"HERE WE GO. 

Welterweights square off as DemianMaia takes on GamebredFighter NOW on PPV!!  "	DemianMaia,PPV		MMAHWatch	1569
1604	1		Reality check for Yair Rodríguez. After narrow Alex Caceres win &amp; B.J. Penn, this was too big a step up. Frankie Ed… 	Yair Rodríguez,Alex Caceres,Penn,Frankie Ed…		kaysersoze1	1568
592	0	UFC211, FightNight	HERE WE GO!! @GamebredFighter vs @demianmaia  			SwitchCoverage	1564
2077	0	ufc211	God damn! Congrats, Frankie Edwards. So...much...swelling! 	Frankie Edwards		RoccoZona	1563
379	0	UFC211	Masvidal coming out to Scarface!  	Scarface		sinkryap	1561
1463	0	UFC211	Scarface Theme &gt; Linkin Park  @ufc	Linkin Park		FredoWin	1560
2066	0	UFC211	Lincoln Park. The only thing worse Maia could have chosen as his walk-out song was Eminem. 	Lincoln Park,Maia,Eminem		TheThirdMann	1559
2021	0	UFC211	In a Sports bar with the fiancé catching UFC 211 was a great decision. Worthy fight card indeed. JDS vs Stipe better deliver. 	UFC		daliosway	1558
58	4	UFC211	Let's go Maia  	Maia		etorrez2	1555
17	48	UFC211	"HERE WE GO. 

Welterweights square off as @DemianMaia takes on @GamebredFighter NOW on PPV!!  "	PPV		ClashLloyd	1554
893	0	DosSantos, Miocic, UFC211, boxing	D@@! UFC 211 Live   Stream Edgar vs.  Rodriguez      Get   Your ..  Link  	UFC,Edgar	http://bit.ly/2rctMnc	muktanpi	1552
1633	0	UFC211, EdgarVsRodriguez	Wow, Edgar has not lost a step!  	Edgar		AndyBanson	1550
1054	0	UFC211	"Linkin Park ""numb"" echoes around the arena as Maia prepares to enter the octogon. "	Linkin Park,Maia		TFrenchOnline	1549
1815	0	ufc211	I want Masvidal to win, but Maia looks almost unbeatable at the minute, lets go Gamebred! 			PottsyPineapple	1548
1102	0	UFC211	That said, Maia is 18-2 in fights where he can score at least 1 takedown. Gonna be a fun one.  	Maia	https://twitter.com/themmanalyst/status/863594416161800192	TheMMAnalyst	1546
1241	0	UFC211, HOF	Congratulations to Joe Silva on being inducted into the HOF this year.  	Joe Silva,HOF		joshflowers1	1545
662	93	UFC211	And here comes 'The Answer' @FrankieEdgar sprinting to the Octagon!  	Octagon		dobiyeol_21	1544
438	0	DRINKITINMAAAN, UFC211	"Bet this'll get some of them ""pure"" MMA fans made, but they'll continue to .  "	MMA	https://twitter.com/pwpnation/status/863586800153100290	Notorious_RAF	1542
353	0	UFC211	Let's go @GamebredFighter!! 			stevenbryant723	1536
1304	0	UFC211	This how Rodriguez should have started the fight  	Rodriguez		JokingChris101	1535
659	0	DosSantos, Miocic, UFC211, boxing	D@@! UFC 211 Live   Stream   Edgar vs.  Rodriguez        Get   Your Link   	UFC,Edgar,Rodriguez	http://bit.ly/2rctMnc	muktanpi	1529
1542	0	UFC211	Frankie is an all time great 	Frankie		Mr_Karsan	1528
108	0	Eurovision, UFC211, Portugal, WhitePeople	George Soros thinks he's God   i   	George Soros,God	http://articles.latimes.com/2004/oct/04/opinion/oe-ehrenfeld4	JulijaAshhad	1525
1932	0	Maia, UFC211	This will be quick.. But Not Painless  			Rammel_23	1522
1502	0	UFC211	Rooting for Maia in this one for obvious reasons, he deserves his title shot! 	Maia		cflood03	1521
63	0	UFC211	GREAT WALK OUT MUSIC! 			TheMMAprophet	1516
1546	0	UFC211	I am fully in on this fight. I really want Maia to win...but I ain't mad at Masvidal winning either. 	Masvidal		TheBeardist	1515
2094	0	UFC211	Maia walking out to Linkin park. He's got my vote. 			robbyrayrouse	1514
372	57	UFC211	Do you think Jessica Andrade will end the undefeated streak of current champ Joanna Jedrzejczyk at  TONIGHT? 	Jessica Andrade,Joanna Jedrzejczyk		braedendeets	1509
303	0	UFC211	"Honestly this is a 50/50 here
@GamebredFighter @demianmaia 
 "			Odevlin19	1506
571	16	ufc211	So, um, you want to fight Frankie Edgar???  	Frankie Edgar	https://twitter.com/TheNermy/status/863589846459265024	Diglettaiko	1504
871	0	ufc211, UFCDallas	Masvidal walks out to scarface soundtrack like a real bad guy  			TheNermy	1503
145	0	UFC211	I don't think he will but if Masvidal wins, him vs TWood for the title is gonna be CRAZY! 			starr_lo	1502
324	0	UFC211	 is absolutely DOPE so far !!!			akin029	1501
356	0	UFC211	Masvidal coming out to the theme from Scarface 			charteronebuf	1499
644	0	UFC211	First fight sucked and second fight ended too soon 😒 			PureLifeTwenty2	1498
1879	0	UFC211	 Results: Frankie Edgar put the featherweight division on notice tonight by completely… 	Frankie Edgar	https://www.instagram.com/p/BUDrYUAjtJZ/	JonnyHodds	1496
283	0	Scarface, Heel, UFC211	Jorge better win this.   	Jorge		dsglabel	1495
607	1	UFC211	The fact that anyone is doubting Maia in this fight amazes me. 	Maia		ReneJaspers	1492
1555	0	UFC211	Maia should come out to “stranglehold”. 	Maia		scott_mcgroot	1491
1623	0		Holy shit... 		https://twitter.com/MMAFighting/status/863594252378316800	DanielCaraballe	1489
578	0	sabadonights, hooters, ufc211, lostindenver	Enjoying the night... alone. 🍺     @ Hooters Lone Tree 	Hooters Lone	https://www.instagram.com/p/BUDrHI4BqQV/	Damentology	1486
1612	0	UFC211	Maia with a tuneeeeeee for an entrance to the octogan 👀 	Maia		TDOGMITCH	1484
68	0	UFC211	I got @GamebredFighter 👊  		https://twitter.com/MMAjunkie/status/863593643994566656	JRose_WB	1481
848	0	UFC211	Love Masvidal but ur getting strangled, let's get that TS Maia 	TS Maia		ahmedgazarin	1480
1754	0	UFC211	I'm good.  RT @MMAFighting: Oh my.  (@allelbows) 			TrizzyTray_	1479
1250	0	UFC211	Masvidal is a fucking gangster enters the arena to scarface tune!!  🔫🔪💯			Craig_Murphy7	1478
70	2		Damnnn Yair took a beating. Hell be back and maybe he can still be bigger then Canelo some day. Just not today… 	Damnnn Yair,Canelo		Swiingin	1477
707	0	UFC211	Frankie Edgar got The Answers sway. 	Frankie Edgar		Zblaze	1472
740	19	UFC211	Frankie Edgar is phenomenal. That's all. 	Frankie Edgar		zacharytjones20	1471
1654	0	UFC211	The Cowboys players are pulling for Dos Santos tonight, trust me 	The Cowboys,Dos Santos		TSpell11	1470
1052	0	UFC211	MMAFightingDude, Rodriguez’s eye is a freakin’ mess. 	Rodriguez’s		MMAHWatch	1467
268	1	UFC211	"Frankie Edgar absolutely demolishes Yair Rodriguez in lopsided performance

… "	Frankie Edgar,Yair Rodriguez	http://foxs.pt/2qfwZ7T	BrawlsToTheWall	1466
1811	0		Dream team 	Dream team	https://twitter.com/ufc/status/863573881608589312	meagan__stokes	1464
1455	0	ufc211	Masvidal coming out to the Scarface theme is actually amazing haha 	Scarface		JamesRowland12	1463
